FAILURE_TYPE,POTENTIAL_PRICE,STATUS,DAYS_TO_POTENTIAL
0,2974.0,3,208.0
0,5992.0,0,248.0
1,9160.0,3,290.0
0,2751.0,2,156.0
1,8427.0,2,280.0
0,1479.0,2,276.0
1,309.0,1,284.0
1,8782.0,3,262.0
0,4971.0,3,547.0
0,4017.0,1,242.0
3,7671.0,2,442.0
3,6004.0,0,221.0
3,272.0,2,309.0
3,3083.0,2,361.0
3,4486.0,2,389.0
1,8468.0,3,511.0
0,2857.0,0,412.0
2,18.0,0,237.0
2,6293.0,0,370.0
1,5749.0,2,397.0
0,4487.0,0,504.0
1,5351.0,2,480.0
1,9551.0,3,91.0
3,3024.0,1,396.0
3,6976.0,0,416.0
1,720.0,0,426.0
2,1498.0,1,225.0
2,3596.0,3,262.0
0,4802.0,1,378.0
0,3389.0,2,231.0
3,1182.0,1,94.0
1,2421.0,2,389.0
3,944.0,1,466.0
3,1271.0,1,485.0
3,3876.0,2,389.0
1,3569.0,1,273.0
0,2666.0,1,279.0
3,874.0,0,239.0
3,4111.0,0,153.0
1,6505.0,1,380.0
3,2534.0,0,86.0
1,4071.0,1,272.0
0,9363.0,3,374.0
3,7594.0,2,484.0
3,2483.0,2,171.0
0,3811.0,2,34.0
2,8296.0,2,238.0
1,7513.0,0,503.0
0,9861.0,0,261.0
0,102.0,3,256.0
3,8250.0,1,257.0
1,1347.0,0,470.0
3,7820.0,2,198.0
1,478.0,1,351.0
1,2808.0,0,327.0
1,7438.0,1,299.0
3,9755.0,3,396.0
2,5189.0,2,258.0
1,3146.0,2,438.0
0,7910.0,3,102.0
1,3711.0,1,138.0
2,5682.0,2,170.0
0,6333.0,1,362.0
0,5831.0,0,489.0
3,8071.0,3,137.0
3,3535.0,1,173.0
0,6128.0,3,384.0
0,3196.0,3,308.0
0,9325.0,0,137.0
3,9611.0,0,414.0
3,4929.0,2,277.0
2,3773.0,2,339.0
0,1763.0,0,370.0
1,7914.0,3,495.0
0,8004.0,3,432.0
0,2820.0,2,223.0
0,3587.0,0,340.0
2,1060.0,2,234.0
3,3003.0,3,456.0
2,3935.0,3,158.0
3,6168.0,2,295.0
3,759.0,0,359.0
3,7438.0,2,401.0
3,8294.0,1,139.0
1,7295.0,0,397.0
2,1213.0,1,271.0
0,2647.0,3,151.0
3,2817.0,3,470.0
2,1333.0,2,216.0
3,5628.0,3,173.0
2,9181.0,3,372.0
0,4191.0,1,330.0
1,7602.0,2,68.0
1,745.0,2,519.0
3,8627.0,3,419.0
2,7316.0,1,229.0
2,9370.0,2,412.0
0,110.0,0,189.0
2,439.0,2,234.0
2,7067.0,2,308.0
1,8330.0,3,182.0
0,689.0,0,305.0
3,6893.0,0,355.0
3,1437.0,3,421.0
2,8566.0,2,512.0
1,414.0,0,111.0
3,9353.0,1,379.0
1,575.0,3,269.0
3,9678.0,1,292.0
1,8042.0,1,242.0
3,5550.0,2,409.0
2,4529.0,2,462.0
1,9896.0,1,359.0
1,9040.0,3,217.0
3,5044.0,2,43.0
0,7410.0,1,464.0
1,5870.0,0,256.0
1,5811.0,1,368.0
0,9801.0,3,361.0
2,1547.0,2,483.0
1,6399.0,3,310.0
1,8992.0,0,226.0
0,6121.0,2,287.0
1,1839.0,1,131.0
0,4951.0,1,83.0
2,9182.0,1,293.0
3,3905.0,1,416.0
0,3682.0,1,279.0
0,3302.0,3,154.0
3,9253.0,0,334.0
3,9247.0,2,172.0
2,9719.0,2,255.0
1,3600.0,3,551.0
2,425.0,2,166.0
3,386.0,1,267.0
2,2527.0,2,133.0
0,2426.0,2,108.0
0,2916.0,2,451.0
3,8566.0,3,264.0
1,6055.0,2,457.0
1,9521.0,1,66.0
1,7208.0,1,495.0
1,3257.0,3,414.0
2,850.0,3,163.0
3,4686.0,2,377.0
3,2553.0,3,129.0
0,9784.0,3,135.0
0,9099.0,0,343.0
3,9418.0,3,317.0
2,2804.0,3,256.0
1,8980.0,0,155.0
1,1545.0,3,121.0
0,1831.0,1,228.0
3,8493.0,1,500.0
1,6050.0,2,347.0
1,1048.0,3,196.0
1,5006.0,3,454.0
1,7524.0,1,307.0
2,6549.0,3,121.0
2,6014.0,2,178.0
2,1951.0,1,378.0
1,6284.155369816993,3,301.91083529203206
3,6867.21541090462,0,421.5736664377335
1,3402.056950730549,3,409.60981596889724
3,4440.391254417626,2,389.55684464967703
2,4468.65156580743,3,438.7534853146517
2,1887.8807937571369,1,375.5933586585626
0,1773.5379118483802,0,369.64746839020535
1,4140.101962746545,2,88.12127212165802
2,1503.555709761536,3,461.033648806161
0,9466.535700277145,3,384.9050172992839
2,7138.369249204544,2,303.8184729488831
0,7406.650953828291,1,469.4337060385202
3,1235.3544756841495,1,490.80681989556933
1,8270.103353374827,3,179.68427480670582
2,3456.0888084744556,3,261.74174635330854
3,8369.679776059013,1,140.8084579215858
2,1065.1773493948674,1,259.32098885602005
1,5706.396417864045,2,398.4304710872808
0,3940.388067810257,2,29.81785804604059
0,4308.897663556889,0,512.7720797967759
0,5915.0958475880325,0,245.17086723800566
0,6156.184213306667,2,285.12506083329674
3,2576.8756226457494,3,464.9462468215651
2,160.14958534407097,0,243.04741836164757
0,1744.7987734782284,1,227.9363584089476
2,7463.408626041519,1,214.57002871665875
1,483.10434279613594,3,269.9533806682437
0,2856.141165229202,2,171.3035563869961
2,124.78527864933415,1,283.7006848027257
2,6948.371496129932,3,281.2109236918475
2,394.59024609293897,2,242.65372756971314
1,588.3122570698006,0,114.6206921901304
3,791.2479398820544,0,343.95537200127575
0,579.7190715317132,0,306.56874057941394
2,1481.2455833325998,2,487.76969269707394
3,8533.490759452665,1,500.58964217135815
1,5994.841205910318,2,456.97870108961314
2,3653.0876809862543,2,338.59286082948125
3,6704.62665380076,0,350.1542746508795
0,9848.834423981654,3,133.6838268806393
3,8704.750977391855,3,417.99085260387403
1,3669.6015564137474,3,550.0952395335427
2,8311.268089787016,0,338.49084607812694
2,8457.971558720858,2,239.1197853502168
0,4306.950289269474,1,322.97326686223687
1,9020.030806425355,0,222.60938002835982
2,2501.568315860126,2,131.35798395261656
0,2845.5468154693954,2,458.26662942884394
1,8263.546411446883,1,212.37920530957473
3,6353.922282958798,2,301.4100026099829
3,3757.065146986837,1,175.13793815669501
0,5800.7335989881885,2,334.26615781611315
0,1776.1678627985816,0,365.3717019351173
1,8703.677530922878,3,263.5277725655358
0,2936.0842201163096,0,415.54679805873576
3,9595.784903665959,1,291.8557311312343
3,8353.34820269219,1,548.9754969787851
1,5989.586513977251,2,462.8998629955842
0,4163.472525701532,1,243.99509901630717
1,8284.62523001159,3,513.5396453349483
3,4782.261918436533,2,363.87787937604287
3,9819.487754570073,3,398.6993286615613
0,2699.5909653210338,0,410.75784457517074
0,9760.356520602469,0,260.7704707566634
1,2342.808978728637,1,484.56910685763944
0,2876.8287368914052,0,416.7164135855455
0,4747.707888539457,1,379.20338426588035
2,1500.1651238848258,1,263.5484480367704
0,7057.698799584375,3,154.6106922682833
1,6134.34189976109,2,494.6525214068888
2,2901.8693655672596,3,268.2362530911736
1,588.1096642163336,1,126.52774301818727
1,6137.506756672935,2,489.78402923579125
0,1555.852446288448,2,272.06166499173713
3,1365.4801134722006,3,426.9153758566207
0,6210.562786029999,3,375.82665509237484
3,4651.059318052285,3,356.36513162450126
3,2713.3634635019994,3,133.6391263722452
3,4392.580639082193,0,147.1918866745294
2,8242.905514231288,0,340.94524232441916
3,8322.775197297891,3,143.530673590892
0,70.30724929918429,3,254.79906965042173
0,9155.617590489606,0,135.57508347132796
3,1057.6231547656744,1,472.5561896304267
2,3858.955750648479,3,155.25778541740007
3,4993.825187284392,2,292.1011859634714
1,2413.6746255178805,1,489.34018134509506
3,9403.872480069855,1,429.7380396980183
2,1989.4732260007431,1,376.0412557741217
1,4518.057562005511,3,441.4073335125937
0,2952.0073268374676,3,210.9425310996267
2,7322.378083532164,1,219.68407696166113
2,9115.730643206038,3,366.0039586485279
2,8513.978595531813,2,235.64437731160217
1,2454.4814473194756,1,482.4370468994792
0,6332.2376837575885,1,371.99440173018235
1,2439.7591625093214,1,492.1294203734407
0,0.0,0,194.27652121357553
3,6165.478180262768,3,300.0467392338585
3,7705.4702465698565,2,445.5582601231455
